Position,"Track Name",Artist,Streams,URL
1,ภาวนา,MEYOU,65484,https://open.spotify.com/track/7IcfEY0IyV4fdALbwJCw3v
2,รักติดไซเรน,"ไอซ์ พาริส",65084,https://open.spotify.com/track/0vIvE2RgjnMpUQn875C4Vz
3,Señorita,"Shawn Mendes",46263,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
4,ถ้าฉันเป็นเขา,Indigo,46262,https://open.spotify.com/track/7adzBs69Rjtj6194UZRWfm
5,"นี่ฉันเอง feat. KOB FLAT BOY",Lipta,41439,https://open.spotify.com/track/1A9I1bdZX61vE5cTaNOz2x
6,เจ็บจนพอ,Wanyai,37636,https://open.spotify.com/track/4prGMvYxnXPsG7xueL4Gc8
7,"ลืมไป (feat. ปู่จ๋าน ลองไมค์)",Wanyai,34037,https://open.spotify.com/track/4XqtyE2i3U1z2rMVcgnYX6
8,พอเถอะ,MEAN,33733,https://open.spotify.com/track/78SisrpqN9rYxNwFbpQ7JX
9,ไปได้ดี,Wanyai,31787,https://open.spotify.com/track/2qlfZhBPWq5FH3FwlZKGws
10,เรา,Cocktail,30567,https://open.spotify.com/track/3CCcOP9IQHVQoYIFKuS5BP
11,ใจเดียว,"Whal & Dolph",30469,https://open.spotify.com/track/4OZjDh3pxthm3Ig9Fs7C7N
12,รางวัลปลอบใจ,Zommarie,29919,https://open.spotify.com/track/1PRByEhLOzWd74sjPQjJlS
13,ดีใจด้วยนะ(Glad),"Ink Waruntorn",28604,https://open.spotify.com/track/0rvNW2zfoFqdz7jHw3VqSQ
14,Lover,"Taylor Swift",28021,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
15,แค่นี้...พอ,"The Parkinson",27816,https://open.spotify.com/track/6d4vvgsd6G6xurG1bv2gnF
16,เดคิสุงิ,"Wan Thanakrit",27430,https://open.spotify.com/track/3hkLfwuEsdfYT8C4IUVljp
17,ทางผ่าน,Pure,23974,https://open.spotify.com/track/3zrebnrolRrRWRx9yx7tZs
18,"ฉันเป็นทะเล (ไม่ใช่เขา)","p n v .",23838,https://open.spotify.com/track/4zvpnvtc2IYE3EMQau3vIH
19,"Goodbyes (Feat. Young Thug)","Post Malone",23564,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
20,เมื่อคืนฉันฝันว่า,"2T FLOW",23438,https://open.spotify.com/track/7gFhyOlGIO4d9yNxIS5ijn
21,ไม่รู้ทำไม,"Whal & Dolph",23414,https://open.spotify.com/track/1lWjw2MgiWcvuy5rSuQ11b
22,ความสุขของเธอ,MEAN,23103,https://open.spotify.com/track/2cqjhnMI6m22cqcD1GUSTZ
23,เมื่อคืน,"Season Five",22114,https://open.spotify.com/track/0OBPjif46Jbz7c4xIqiBEw
24,"Beautiful People (feat. Khalid)","Ed Sheeran",21961,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
25,วิภาวดี,YENTED,21955,https://open.spotify.com/track/6MOmulJqeI6K3dq3I4Sfbu
26,คำตอบ,Safeplanet,21610,https://open.spotify.com/track/0zEb36zrMAhdM851DxG1Oy
27,comethru,"Jeremy Zucker",21552,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
28,"How Do You Sleep?","Sam Smith",21466,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
29,ดึกแล้วอย่าเพิ่งกลับ,Jaonaay,21187,https://open.spotify.com/track/7nVTeSpry1cMbgyCmSd1ae
30,เพื่อน,Polycat,21092,https://open.spotify.com/track/7xJowlJfrvuFbooVesjFm0
31,"เสี่ยว Feat. Na Polycat","Ammy The Bottom Blues",20820,https://open.spotify.com/track/63eGghNk0tlCFqtjdE6aEq
32,"ผี - Ghost",UrboyTJ,20791,https://open.spotify.com/track/1P6MeMHNjKC9SC7br4YqQY
33,ไม่ว่าง,OG-ANIC,20466,https://open.spotify.com/track/6wVQR2tKc36SXOxdSg9gvO
34,Circles,"Post Malone",20339,https://open.spotify.com/track/4VginDwYTP2eaHJzO0QMjG
35,"เมษา (MAYSA) feat. BLACKSHEEP","fellow fellow",19835,https://open.spotify.com/track/3bxGTdVHjBjlSOjRDH9a4f
36,"boyfriend (with Social House)","Ariana Grande",19645,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
37,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,19200,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
38,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",18878,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
39,อาวรณ์,Polycat,18844,https://open.spotify.com/track/2USX969yFQ250hBULh6Ope
40,FLASH,X1,18778,https://open.spotify.com/track/1q3C6brbmRrULTyo2mseKF
41,หลอก,NICECNX,18530,https://open.spotify.com/track/6XQ71HC6xxRbVZZD6Bodju
42,"ครัวซองอัลมอนด์(God fail)","Season Five",17145,https://open.spotify.com/track/7lQLlkBmHcDGJ2becWAUAa
43,เจ็บไม่จำ,O-Pavee,16967,https://open.spotify.com/track/4XGKYVsklvtRYtq4LfYUrr
44,ถามหน่อย,VARINZ,16755,https://open.spotify.com/track/3i1rSzXFJpSiEu0zZiEmpD
45,"หมอกร้าย feat. Fongbeer and Kob the X factor",Lipta,16744,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v
46,"พรุ่งนี้ค่อย (Cheat Day)","Pop Pongkool",16656,https://open.spotify.com/track/00QJNqqJoah8KE7UBDpCHy
47,ไม่รับสาย,"The Toys",16393,https://open.spotify.com/track/5ndp5yVxoWbTSDRY1nAipf
48,เพื่อนไม่จริง,Polycat,16145,https://open.spotify.com/track/05WHgjtWx32x40VmFkLnOd
49,"The Man","Taylor Swift",16073,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70
50,"ไม่มีเหตุผล (feat. นายนะ)",MARINA,15787,https://open.spotify.com/track/3JrekkAlDuRg0iRBwVUTBy
51,"ทั้งจำทั้งปรับ feat. YOUNGOHM, KARN The Parkinson",Stamp,15456,https://open.spotify.com/track/1Wuq5oThaFJmFl2vJNYMKD
52,"แพ้ทุกที (LOOPER)","fellow fellow",14889,https://open.spotify.com/track/1OCWm66r2PwI8RsspEMfzD
53,พอจะรู้,MEYOU,14730,https://open.spotify.com/track/4p4SOBQ0fxHYluEcba6Xrq
54,"เอ็นดู feat. NONNY9, PONCHET",VARINZ,14105,https://open.spotify.com/track/61fcrKehgOcbb1TzPJfcob
55,ตัวสำรอง,"Bedroom Audio",13841,https://open.spotify.com/track/3L1nGE8zZsTuxkZUFLlTgC
56,"Kill This Love",BLACKPINK,13503,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
57,รอหรือพอ(STAY),"Ink Waruntorn",13493,https://open.spotify.com/track/6GWxyilMge5tlHylX0KjSS
58,คำว่ารัก,"Mon Monik",13102,https://open.spotify.com/track/0XvtyZJQmQ9HRJZoLVbioO
59,เวลาเธอยิ้ม,Polycat,13082,https://open.spotify.com/track/06DPpk0hUJEgpzl5cuWNI6
60,"Boy With Luv (feat. Halsey)",BTS,13054,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
61,ดูดี,Polycat,12470,https://open.spotify.com/track/4afuOwuWWRoS8HEw1cyVUZ
62,มีแต่เธอในหัวใจ,Mindset,12042,https://open.spotify.com/track/02fQLERHX9nqlnIfJOciua
63,พบกันใหม่,Polycat,11974,https://open.spotify.com/track/4IKn1t0eZZzF5mji1vraVI
64,ซ่อนกลิ่น,Palmy,11433,https://open.spotify.com/track/7woh2lJvyILYxSQ1kXTI3d
65,I.F.L.Y.,Bazzi,11422,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
66,หมายความว่าอะไร,MEAN,11369,https://open.spotify.com/track/63rLjQUFTxemPqACev1by7
67,"Good Luck feat. Maiyarap",Lipta,11204,https://open.spotify.com/track/3tMbwbZpYXGHeg0l45m7Tv
68,"I Like Me Better",Lauv,10617,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
69,"bad guy","Billie Eilish",10583,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
70,Lies,ETC.,10562,https://open.spotify.com/track/4cuqxTgaj2Bzrlti3s6MDZ
71,Adios,EVERGLOW,10514,https://open.spotify.com/track/5uHl2eYaITSX6xEX8bmaXy
72,BOOM,"NCT DREAM",10415,https://open.spotify.com/track/6rcn967QN5JtkPOBDwYIuT
73,ต่อให้,"Season Five",10351,https://open.spotify.com/track/7EiesOznEUAta5QIb89I7e
74,Talk,Khalid,10254,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
75,"If I Can't Have You","Shawn Mendes",10182,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
76,ฝากไว้กับดาว,"Whal & Dolph",10167,https://open.spotify.com/track/5PMJyQr4nI8L78r6TXumeU
77,"Cruel Summer","Taylor Swift",10037,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
78,"I Don't Care (with Justin Bieber)","Ed Sheeran",9906,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
79,ไปเถอะ,"The Parkinson",9716,https://open.spotify.com/track/0LYBCxlKrkN2AQSvlolWXC
80,"You Need To Calm Down","Taylor Swift",9689,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
81,รักมือสอง,"Bedroom Audio",9639,https://open.spotify.com/track/6SrJGBmuQGR8SKpPqHfXz4
82,"Dancing With A Stranger (with Normani)","Sam Smith",9347,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
83,เป็นเพราะฝน,Polycat,9204,https://open.spotify.com/track/7K41SevJ4ihWtiOiF1eAak
84,พูดไม่ออก,"The Toys",9041,https://open.spotify.com/track/36QNwsq4EpOdS3E4WEJphO
85,กอดความเจ็บช้ำ,Safeplanet,8934,https://open.spotify.com/track/2k9AOePfi6wDRhzUnSVCy4
86,ภาพจำ,"Pop Pongkool",8921,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS
87,ICY,ITZY,8871,https://open.spotify.com/track/7zFBtYAVURF3bUVqEQ6UUu
88,"LALALAY 날라리",SUNMI,8707,https://open.spotify.com/track/6sWd8ZAH5bWWyjwb7ZV2Zb
89,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",8683,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
90,ไม่อยู่ในชีวิตแต่อยู่ในหัวใจ,Lula,8594,https://open.spotify.com/track/1psb8glAxDb4DYAwnOWzm3
91,Teeth,"5 Seconds of Summer",8535,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
92,"Someone You Loved","Lewis Capaldi",8326,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
93,"7 rings","Ariana Grande",8318,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
94,Takeaway,"The Chainsmokers",8315,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
95,ไม่ไหวบอกไหว,"Boy Peacemaker",8307,https://open.spotify.com/track/31zkfF9LTPEbnwdaz6MERy
96,มันเป็นใคร,Polycat,8236,https://open.spotify.com/track/4PXdOchDL7aUZghQobIlhX
97,"ไม่สนิทอย่าทัก feat. Chilling Sunday","fellow fellow",8219,https://open.spotify.com/track/3uQfQMt9GEXhAZLVGtubcv
98,พอ,"Atom Chanakan",8173,https://open.spotify.com/track/72KOmS4Af9IEFsT87TK1VQ
99,"I Warned Myself","Charlie Puth",8121,https://open.spotify.com/track/3707IBa4HnS3zDDoWfeUBl
100,รอให้เธอบอก,"Whal & Dolph",8114,https://open.spotify.com/track/0r7l0cA27fy29MmGU8k1bO
101,Motivation,Normani,8087,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
102,นอกจากชื่อฉัน,ACTART,8085,https://open.spotify.com/track/3nQlPsRsO4mEqVaiqErCLO
103,PLEASE,"Atom Chanakan",8026,https://open.spotify.com/track/60hF3gZXQ33xdAXXk6tE1x
104,ยังไม่รู้,"Better Weather",8003,https://open.spotify.com/track/2OQQPlUlrSKu2nOPMwTS2c
105,"i'm so tired...",Lauv,7999,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
106,2002,Anne-Marie,7980,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
107,"Old Town Road - Remix","Lil Nas X",7925,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
108,"ร W8","Gene Kasidit",7921,https://open.spotify.com/track/3zc9UfgETcTMGiazW58Klg
109,เป็นทุกอย่าง,"Room 39",7913,https://open.spotify.com/track/0lQWN4uo1PCdzrxEZJM95P
110,เจ็บจนไม่เข้าใจ,PORTRAIT,7853,https://open.spotify.com/track/4URCEQmgwuwaHiySIqGmIa
111,"thank u, next","Ariana Grande",7748,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
112,มีผลต่อหัวใจ,"Non Tanon",7740,https://open.spotify.com/track/5lxItfla07vroV2vuGwe75
113,ความเงียบดังที่สุด,Getsunova,7730,https://open.spotify.com/track/49o9ToewyZywgB5KlaB3WN
114,"Don't Know What To Do",BLACKPINK,7662,https://open.spotify.com/track/1TaQciB8qqRZ9fxWGhS65X
115,เป็นอดีต,MEAN,7511,https://open.spotify.com/track/6OJ10ZEgo5ZyBHZE72eD7x
116,SOLO,JENNIE,7502,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
117,ท้าเล,"The Toys",7436,https://open.spotify.com/track/52R0SwdPEcHrBblLKdUFiN
118,เจ็บน้อยที่สุด,Zeal,7407,https://open.spotify.com/track/2YIgU8Tq4tovJ3T2Qw6Ewh
119,มีเธอทุกวันก็โอนิ,"The Toys",7402,https://open.spotify.com/track/3seGmbdxubyOV7rAnUYAWh
120,คิดถึง,Palmy,7357,https://open.spotify.com/track/39TrXFs2mDHCPlGpfTrOX3
121,"อย่าเสียใจคนเดียว ost. HORMONES 3 THE FINAL SEASON","Better Weather",7310,https://open.spotify.com/track/6hppyFzZ1nHxTbRuPnSwBe
122,"Strawberries & Cigarettes","Troye Sivan",7254,https://open.spotify.com/track/3afkJSKX0EAMsJXTZnDXXJ
123,"Dance Monkey","Tones and I",7194,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
124,เพื่อนพระเอก,Polycat,7165,https://open.spotify.com/track/3oAsmJfKeZHuouJIxRwb1g
125,FANCY,TWICE,7162,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
126,พยายาม,O-Pavee,7151,https://open.spotify.com/track/6Slc1wXZDs8zDA6Ip9mPFE
127,"Slide Away","Miley Cyrus",7123,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
128,"Best Part (feat. Daniel Caesar)",H.E.R.,7119,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
129,พระเอกจําลอง,Getsunova,7119,https://open.spotify.com/track/3HQHoNW6nesoIVybg8wtCr
130,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",7066,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
131,คนที่ไม่ใช่,O-Pavee,7032,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1
132,ใกล้,Scrubb,6948,https://open.spotify.com/track/4r3UvwePMdXPJrqFautgTq
133,"Paris in the Rain",Lauv,6938,https://open.spotify.com/track/41CgzGD7xlgnJe14R4cqkL
134,"Day 1 ◑",HONNE,6907,https://open.spotify.com/track/6ZzYETKetIfNUsZUb23jgG
135,"ได้ข่าว (Breaking News) feat. CDGUNTEE",Lipta,6837,https://open.spotify.com/track/4L11CrTUriutTRRjWKPdJm
136,"Like always",X1,6831,https://open.spotify.com/track/1Jr8RbuOnvMHsMHcWgZ9Do
137,ไวน์,"Max Jenmana",6815,https://open.spotify.com/track/00Hj710RrsLX5s9bothwlW
138,"กลัว (18th edited)",Scrubb,6796,https://open.spotify.com/track/6T3awZdmxxF3j5ozSi8vqy
139,Ransom,"Lil Tecca",6760,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
140,Status,"Chilling Sunday",6729,https://open.spotify.com/track/0GTCONVjK4xrB0ZPT1CCNz
141,"달라달라 (DALLA DALLA)",ITZY,6729,https://open.spotify.com/track/0GU5GuJQQEnnREO2FxnVPT
142,ธารารัตน์,YOUNGOHM,6599,https://open.spotify.com/track/3BK6m6yU8BAW5z71FnU3nu
143,ฉันยังเก็บไว้,"Whal & Dolph",6569,https://open.spotify.com/track/5baGsQBa1IGlf1x0BqiPQ5
144,"As If It's Your Last",BLACKPINK,6530,https://open.spotify.com/track/1Zyd6zQnC6XIIzmg3hP7Ot
145,กอดไม่ได้,"Bedroom Audio",6510,https://open.spotify.com/track/4WxNfBGTaGoN5hOqXI9TFJ
146,ฝันหวานอายจูบ,Stamp,6501,https://open.spotify.com/track/10DSYghyBjAYJa8iCvdRDv
147,"I'm here for you",X1,6497,https://open.spotify.com/track/3Ell49mmc3B5KnKSvmeQB3
148,"บอกตัวเอง (feat. โป่ง หินเหล็กไฟ)","Room 39",6497,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF
149,ฝืนตัวเองไม่เป็น,"Non Tanon",6485,https://open.spotify.com/track/5AwQir16Hh3nHBLyGuhTjU
150,ขอ,Lomosonic,6469,https://open.spotify.com/track/4s4xtVecBeGjuAMqXW8kWv
151,"DDU-DU DDU-DU",BLACKPINK,6467,https://open.spotify.com/track/2aI2k39nfa3KFsa4JclQzw
152,Zimzalabim,"Red Velvet",6467,https://open.spotify.com/track/0GUbhhI5fRx7BlqlqlhjuB
153,ฟ้า,"Tattoo Colour",6443,https://open.spotify.com/track/49P4H6SJkVu2pkuZnuUDk4
154,เสือสิ้นลาย,F.HERO,6442,https://open.spotify.com/track/42pEFPN6KrUydf2ufdampZ
155,"U GOT IT - X1 Version",X1,6435,https://open.spotify.com/track/4HmPiO9GElc8ultwqFbUbH
156,ถ้าฉันหายไป(Skyline),"Earth Patravee",6397,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8
157,เพียงเธอ,Safeplanet,6359,https://open.spotify.com/track/7aAk1WR34azj89ZZq19hLD
158,ดาว,Pause,6341,https://open.spotify.com/track/7JT0xvRdL46U36JqiCTfWS
159,ขอโทษดาว,"Earth Patravee",6327,https://open.spotify.com/track/5fDc3i3gwjyNCBbln2ZoVn
160,"ลาลาลอย (100%)","The Toys",6319,https://open.spotify.com/track/3f3L2MP4oniV1bmSxGbcW4
161,"ภูเขาบังเส้นผม feat. TWOPEE",Stamp,6247,https://open.spotify.com/track/5kHLmBd3GTMIFhWdD3berA
162,รอยยิ้ม,Scrubb,6228,https://open.spotify.com/track/6ezEwX2eZRZlioqYaUPOKX
163,"Without Me",Halsey,6102,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
164,บอกฉัน,Illslick,5988,https://open.spotify.com/track/0vOepjj3QlgWsmuccCCDkT
165,เป็นไรไหม?,OG-ANIC,5971,https://open.spotify.com/track/09Mn2O6dtMLCKdeD0BtLdO
166,"Love Shot",EXO,5962,https://open.spotify.com/track/33NAYATbWRoo5RuEP30JBZ
167,"All about you",TAEYEON,5954,https://open.spotify.com/track/7fftC401ke4BzA3ucPIXES
168,"หวง (You're Mine)","Earth Patravee",5949,https://open.spotify.com/track/5t2958ghc1UIUovv1pqMl3
169,แค่เราไม่ได้รักกัน,Indigo,5933,https://open.spotify.com/track/7Fi43HjA5FTTCPOj2wai00
170,ลืมไปก่อน,"Buddha Bless",5927,https://open.spotify.com/track/4FqihJCXbisi7QYobU7ff6
171,คืนที่ดาวเต็มฟ้า,"Pramote Vilepana",5880,https://open.spotify.com/track/5JoSLllHkOdE56kpHU4fi6
172,ยังคิดถึง...(Same),"Marc Tatchapon",5832,https://open.spotify.com/track/1OlInnJssr9pXY0Ooa0SDT
173,ผู้ชมที่ดี,MEAN,5785,https://open.spotify.com/track/14ukOd1Rxw8Fi1pqmiNXMa
174,คนที่เธอไม่เคยมอง,YOUNGOHM,5779,https://open.spotify.com/track/47vCWtVWjrE2GlvXt7or9C
175,"I Love You 3000","Stephanie Poetri",5776,https://open.spotify.com/track/3znQ9i61vfe2E7URHlOiyc
176,"MOVE - X1 Version",X1,5771,https://open.spotify.com/track/2Hy7yP6pcZOzLNO4aUB4uz
177,กรรม,"Pang Nakarin",5758,https://open.spotify.com/track/5dabj4WMNf5y5gY7mfPh9j
178,BIRTHDAY,SOMI,5750,https://open.spotify.com/track/3jsWXhE5NuPWQ4IHplv2zt
179,"Malibu Nights",LANY,5728,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
180,รักแรกพบ,"Tattoo Colour",5697,https://open.spotify.com/track/19VIBTwlLTX2SKK6e3erAf
181,"Better Now","Post Malone",5677,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
182,ความลับมีในโลก(Secret),"Ink Waruntorn",5666,https://open.spotify.com/track/6oTyQdGm1gjyDbd1N1Vhq4
183,คิดอยู่,"p n v .",5636,https://open.spotify.com/track/5rp2En3jKJhJjZoedyh4Zp
184,ภักดี,Polycat,5605,https://open.spotify.com/track/6QBDlfcUq2zKZvy19E8kNS
185,คู่กัน,Scrubb,5582,https://open.spotify.com/track/2SewBThepvNfjZ6fyBhGYT
186,"Forever Young",BLACKPINK,5581,https://open.spotify.com/track/56bHclo7YNvpujMveLElQn
187,"ให้นานกว่าที่เคย - Collab",KLEAR,5566,https://open.spotify.com/track/5qiTHnCUhw2H0c9Tmf0sJk
188,เพื่อนรัก,"The Parkinson",5561,https://open.spotify.com/track/4xkx6xqlEsGqzCX5HM1cF2
189,"ภาวิณี (2018 Remastered)",electric.neon.lamp,5561,https://open.spotify.com/track/7qnO1KbAGjzEy22mC3HXua
190,รองเท้าเก่า,"Tattoo Colour",5547,https://open.spotify.com/track/3Eu82PdSTJ8whj8KFJj4au
191,Happier,Marshmello,5545,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
192,Smoke,"Violette Wautier",5525,https://open.spotify.com/track/4QWno5VXD5LMpoQQlNrJNQ
